#Transcript position	Transcript coverage profile
0.0	2265.4144758751754
1.0	1822.1253115164652
2.0	3075.57015166187
3.0	5405.718732599072
4.0	7433.195075791035
5.0	9185.678211714097
6.0	8955.807769228515
7.0	8830.591887580962
8.0	9567.08464876544
9.0	13310.068070760559
10.0	21604.932960904385
11.0	47105.95273066456
12.0	52333.4391094658
13.0	52546.202183759495
14.0	39858.937989254395
15.0	20124.530207206753
16.0	12182.817512032067
17.0	10254.54899442513
18.0	10368.99280871453
19.0	11269.962298110917
20.0	13490.808560866712
21.0	17269.60888791735
22.0	19912.994820498916
23.0	32639.03184431459
24.0	28286.679126488514
25.0	34453.43754384788
26.0	41500.98205763164
27.0	44994.46491367428
28.0	41879.695463597716
29.0	35704.50545039698
30.0	36737.42886104202
31.0	28429.44575676959
32.0	25002.84807083164
33.0	30976.050211723657
34.0	35401.666699746
35.0	35330.30413007773
36.0	32930.27767215203
37.0	24935.26508386677
38.0	19808.38375838421
39.0	18276.161464914552
40.0	21414.674264842488
41.0	31072.445441685006
42.0	34090.44201854588
43.0	38138.27179295786
44.0	29924.303954596457
45.0	24514.58790791211
46.0	19978.745752577506
47.0	16418.87413749349
48.0	13418.165591248428
49.0	13343.821688370177
50.0	13443.126420685174
51.0	13668.377218261194
52.0	14216.695508003242
53.0	14255.993381144644
54.0	14490.399998658608
55.0	13521.6474057055
56.0	14370.104047313462
57.0	16956.982371009435
58.0	18109.395918386792
59.0	17872.552015654263
60.0	19889.323484275174
61.0	24172.6955357162
62.0	24938.383509961044
63.0	25138.63247156873
64.0	25151.999530185873
65.0	24313.52115456638
66.0	21257.85624058995
67.0	20185.47512273026
68.0	20361.80679743632
69.0	21596.992726576424
70.0	20537.977985470487
71.0	17117.21079757478
72.0	14205.517433256133
73.0	12077.36441622
74.0	12273.26797235433
75.0	12406.666468319545
76.0	14510.007961961757
77.0	13948.911554474513
78.0	12527.337245932016
79.0	10292.77362835351
80.0	9876.162014130163
81.0	12143.810735585215
82.0	11547.801721788119
83.0	11724.858407496991
84.0	9206.808643416949
85.0	9968.237245464454
86.0	10076.145407938084
87.0	9719.116748595146
88.0	10005.302949313962
89.0	9938.501810284624
90.0	11354.262217101308
91.0	10623.023943575181
92.0	18833.607811852253
93.0	24791.381585421954
94.0	20839.72674237835
95.0	18186.79309481452
96.0	2464.154035952746
97.0	682.9781819095139
98.0	360.619154203436
99.0	112.65352285467937
