#Transcript position	Transcript coverage profile
0.0	5917.777294667451
1.0	6273.495981273086
2.0	6978.4056314505515
3.0	8242.163757181037
4.0	9523.630877449052
5.0	10675.213183555237
6.0	11132.664086667197
7.0	11515.952228479338
8.0	12088.730093766002
9.0	13461.52894283458
10.0	16421.947380085967
11.0	24709.068205470263
12.0	26847.629481466625
13.0	27301.52717544574
14.0	24118.964715705162
15.0	17173.118060251396
16.0	15024.711890267743
17.0	14622.272804431423
18.0	14886.433273813622
19.0	15948.657814459635
20.0	16838.288143613907
21.0	18015.999719280328
22.0	18860.973239542953
23.0	22534.86756419717
24.0	21021.50439993804
25.0	22471.196985317707
26.0	24389.338673793307
27.0	25941.559812042764
28.0	25420.59088994676
29.0	23852.84920765379
30.0	23788.350049076344
31.0	21860.509597605986
32.0	20937.432545314736
33.0	22974.196549244378
34.0	24786.002051606156
35.0	24915.79825900391
36.0	24140.62213911125
37.0	21564.342115371837
38.0	19887.38395196978
39.0	19434.94325453707
40.0	20685.519128791224
41.0	23871.62424887666
42.0	25005.11668566646
43.0	26402.012289059152
44.0	24177.114411786042
45.0	22382.704890293582
46.0	20772.78980800666
47.0	19362.197598965628
48.0	18314.438236587415
49.0	18283.108933077652
50.0	18188.066255504822
51.0	18148.091272477654
52.0	18099.946929381782
53.0	18146.637922304148
54.0	18417.376750760603
55.0	18105.931628659528
56.0	18266.87819408501
57.0	18943.049819387907
58.0	19343.72247921241
59.0	19396.866814313315
60.0	19887.46130030481
61.0	21095.072438046536
62.0	21477.02562979224
63.0	21485.85463171663
64.0	21541.998908612808
65.0	21127.931547757595
66.0	20096.509485192044
67.0	19803.679844275113
68.0	20067.80854707743
69.0	20501.44803998329
70.0	20180.61788136005
71.0	19186.663011556353
72.0	18301.929466078287
73.0	17873.046764958443
74.0	18106.63267516675
75.0	18159.358982161448
76.0	19022.928185722038
77.0	18841.930244661435
78.0	18346.32391497956
79.0	17545.818703567562
80.0	17413.866499009797
81.0	18154.971017419015
82.0	17831.167054148693
83.0	17842.28733014859
84.0	16922.961891246305
85.0	16885.59278345387
86.0	16525.530179061003
87.0	16057.545482391537
88.0	15885.262612389733
89.0	15504.726981631193
90.0	15596.657526172736
91.0	15019.658670245544
92.0	16570.982326441088
93.0	17236.606828917942
94.0	15255.778303584255
95.0	13179.35183942211
96.0	7456.857894425384
97.0	5262.412218721588
98.0	3208.1570539421073
99.0	990.3853249833776
