#Transcript position	Transcript coverage profile
0.0	724.5416848046999
1.0	841.9595893698802
2.0	1214.5571730079414
3.0	2047.573557278438
4.0	2792.7582019671786
5.0	3411.83847744629
6.0	3302.3137595873122
7.0	3275.726395119563
8.0	3490.224220863333
9.0	4414.59154259246
10.0	6886.580352272855
11.0	14940.036039963818
12.0	16826.653314775802
13.0	16973.1515026359
14.0	13582.057369505155
15.0	6392.619483291044
16.0	4117.135408791531
17.0	3479.88485334809
18.0	3618.0981805271394
19.0	4495.480722024042
20.0	5263.972458997168
21.0	6277.306110242041
22.0	6960.312605585971
23.0	10491.434051975462
24.0	8985.234699793087
25.0	10401.738439871724
26.0	12123.746452607216
27.0	13643.948546406113
28.0	12873.40699669544
29.0	11330.22129779886
30.0	11299.195597011847
31.0	9376.640541945997
32.0	8395.023420217934
33.0	10364.233810767677
34.0	12110.672064480834
35.0	12143.22264467514
36.0	11353.751113508357
37.0	8770.761341770149
38.0	7028.8394248850245
39.0	6495.891238298911
40.0	7735.796178949623
41.0	10857.739998958261
42.0	11998.49675344271
43.0	13482.24200070431
44.0	11207.859785335211
45.0	9361.338839933785
46.0	7659.808628933853
47.0	6280.720107121712
48.0	5182.650197708159
49.0	5183.512493997848
50.0	5199.208613586212
51.0	5236.786641945785
52.0	5246.141619231981
53.0	5307.893214113624
54.0	5588.150239021166
55.0	5304.398088225513
56.0	5566.899093372744
57.0	6276.504232866704
58.0	6590.806705743261
59.0	6547.31688095795
60.0	7037.7313988481155
61.0	8244.743155043467
62.0	8528.184939022318
63.0	8646.269096473929
64.0	8631.915512061541
65.0	8275.366894663046
66.0	7276.981326970883
67.0	7027.618767908612
68.0	7216.119428698056
69.0	7565.6679429490705
70.0	7091.500179547781
71.0	6067.9681884307965
72.0	5168.470698208771
73.0	4603.506163891537
74.0	4689.195548368913
75.0	4651.773268947763
76.0	5382.443196613328
77.0	5160.054905457173
78.0	4609.502297658973
79.0	3867.771013494198
80.0	3756.220121349228
81.0	4528.25700053208
82.0	4207.159805169285
83.0	4312.933495122154
84.0	3401.8917036009566
85.0	3507.6368326705865
86.0	3519.971826469728
87.0	3399.022035886153
88.0	3442.766416273352
89.0	3360.9568982497753
90.0	3784.7293254837464
91.0	3662.0986897052853
92.0	6034.567122692342
93.0	7681.197967106767
94.0	6527.226450485525
95.0	5471.974188645057
96.0	949.5557421426281
97.0	379.7887901199494
98.0	217.2186519131582
99.0	71.3490871339113
