#Transcript position	Transcript coverage profile
0.0	6137.179082379964
1.0	7447.817457190616
2.0	9255.481208816445
3.0	9652.783564428395
4.0	10556.03170404969
5.0	11710.469397156332
6.0	13405.818638351406
7.0	14188.516427005487
8.0	14653.696207242008
9.0	16328.46997120052
10.0	18217.416292734102
11.0	19772.800254124533
12.0	20898.860247059638
13.0	21341.25333239031
14.0	22127.586104362344
15.0	22713.409775017168
16.0	22863.699109723355
17.0	23220.76910099238
18.0	23823.52825548801
19.0	23791.30155115389
20.0	23825.215267608724
21.0	24002.230555621358
22.0	24237.7528840254
23.0	26222.46737255243
24.0	25633.118999515616
25.0	23429.72720497413
26.0	22025.880895279082
27.0	21173.567234810824
28.0	21670.828860950143
29.0	20985.308764618396
30.0	21342.643344722655
31.0	21050.11959300888
32.0	21962.457217578947
33.0	22467.720799749357
34.0	23014.767007300452
35.0	25074.57301944766
36.0	27514.166436324893
37.0	27857.18887249666
38.0	26922.11961142016
39.0	27225.68188600725
40.0	27430.6071680408
41.0	27253.835901130195
42.0	26988.278761623376
43.0	26675.62847985651
44.0	26160.640646986314
45.0	26359.320841660734
46.0	25127.9161557014
47.0	23342.167085869663
48.0	25863.766586832462
49.0	27792.278254619796
50.0	27391.109924148273
51.0	25166.163702917096
52.0	24345.525455353087
53.0	25111.079093296798
54.0	26118.62437690897
55.0	26261.52866625525
56.0	25362.356698950414
57.0	24073.1183076098
58.0	24467.303574871356
59.0	24496.050520675275
60.0	24286.63948421871
61.0	24392.12878429767
62.0	25180.250149686668
63.0	25011.52159601538
64.0	23476.880996775588
65.0	20570.75122760388
66.0	18693.37182923717
67.0	19532.402478538024
68.0	21269.175262345398
69.0	21534.32800728133
70.0	22839.08715065692
71.0	22850.223086862283
72.0	25090.416035093927
73.0	28629.422412506046
74.0	29366.964514768228
75.0	28729.387048638568
76.0	30403.558520485676
77.0	28609.919905072464
78.0	27319.63230519151
79.0	25981.734334260895
80.0	24386.408233123257
81.0	23120.264106127914
82.0	22743.643237824304
83.0	22394.054224143194
84.0	20279.194611307976
85.0	19150.87971737681
86.0	18656.688046600815
87.0	19299.488581304064
88.0	18922.31221558468
89.0	17718.1027475434
90.0	15616.490837232051
91.0	14652.267052291654
92.0	13292.602945140068
93.0	12455.933258795521
94.0	10693.982445829424
95.0	8759.05522140724
96.0	6602.353651014888
97.0	3929.0034609006607
98.0	1756.8009974432596
99.0	582.2038201247884
