#Transcript position	Transcript coverage profile
0.0	55813.17338001791
1.0	59429.30660035684
2.0	64753.33934964942
3.0	70158.5291204715
4.0	76652.00528679143
5.0	82518.52034816104
6.0	88654.79557259075
7.0	93928.75686389963
8.0	97221.27082246519
9.0	102118.49256562316
10.0	107662.03714377561
11.0	111348.8297243205
12.0	114860.12768024579
13.0	118143.32350366419
14.0	119783.14612834516
15.0	121963.44118826198
16.0	122557.67568066169
17.0	124698.19989809094
18.0	126316.98354403579
19.0	128885.66097144825
20.0	130617.83470700789
21.0	132172.8084224276
22.0	133553.70193377795
23.0	136604.84464862855
24.0	137250.60365078598
25.0	135091.81276948357
26.0	134726.32241547745
27.0	134192.8089148262
28.0	136117.54355609292
29.0	135105.84209273205
30.0	135491.36754462193
31.0	136962.15421185287
32.0	138610.44295655558
33.0	139323.6083212121
34.0	140594.28820399873
35.0	141655.9772925263
36.0	144128.6520899477
37.0	144029.1501319583
38.0	143554.33201990215
39.0	144171.02226526826
40.0	145774.20311582217
41.0	145309.48722698964
42.0	145903.52500530577
43.0	145542.09105067246
44.0	145541.920650448
45.0	146030.4904651622
46.0	145485.94957448504
47.0	144350.6832922867
48.0	147111.47215437487
49.0	148474.7130766547
50.0	147253.945504778
51.0	144142.94075832446
52.0	143148.91559088542
53.0	142917.85884321955
54.0	143441.88450848052
55.0	143079.3800275966
56.0	141366.5319726888
57.0	141229.31818507647
58.0	141858.15310413187
59.0	141059.90014599107
60.0	140741.19439194177
61.0	140468.3193625496
62.0	141288.49499297034
63.0	141087.68368066536
64.0	139259.57389870018
65.0	135378.04423759534
66.0	133028.1273193659
67.0	132865.98642241934
68.0	134915.39396741596
69.0	135136.4966175384
70.0	136635.0828206612
71.0	136273.5575744194
72.0	138180.89034707294
73.0	141948.57634181148
74.0	143164.76750738098
75.0	143560.5804677302
76.0	145667.6909361364
77.0	144061.7976354618
78.0	142592.30052633813
79.0	141305.50279543534
80.0	140565.65618328267
81.0	139048.40201755558
82.0	136623.4192503885
83.0	134893.27346431284
84.0	131236.58056978346
85.0	128895.0644632976
86.0	126064.17498372654
87.0	126236.68929750103
88.0	124050.5020745896
89.0	120017.87602372226
90.0	113758.51041050027
91.0	108314.41115533223
92.0	99596.46087618952
93.0	91560.82231139095
94.0	83139.70198880472
95.0	72933.74285347901
96.0	61334.39397998179
97.0	45221.85477327635
98.0	27576.684353100874
99.0	9044.085543480065
