#Transcript position	Transcript coverage profile
0.0	6890.293311258702
1.0	7185.1458811289585
2.0	7917.715097629645
3.0	9136.685744262302
4.0	10347.140583501088
5.0	11498.516619202303
6.0	12160.107468155373
7.0	12499.132044436248
8.0	12977.301494791658
9.0	14266.32086657644
10.0	17211.91715436416
11.0	24797.33288434898
12.0	27242.036534543324
13.0	27734.360793802887
14.0	24926.904440626124
15.0	18843.592629143895
16.0	16127.163362382962
17.0	15628.375028843642
18.0	15778.355854127243
19.0	16306.05600781128
20.0	17177.237099776397
21.0	18606.42240054087
22.0	19488.68885209417
23.0	23472.14686234561
24.0	22150.72973760022
25.0	24088.063131942792
26.0	27237.043213765315
27.0	28247.456128459828
28.0	27459.7603296712
29.0	25376.873787697295
30.0	25747.596121977003
31.0	22733.190742273757
32.0	21383.60157713109
33.0	23253.249429881715
34.0	24759.86623449989
35.0	24897.24120777941
36.0	24192.97889022822
37.0	21855.668532231604
38.0	20562.592408964287
39.0	20070.35454946506
40.0	20340.707278299145
41.0	22980.762026393364
42.0	23789.200891302517
43.0	24973.21173328995
44.0	23242.110407480202
45.0	21706.091721905184
46.0	20347.62658331068
47.0	19195.000126591425
48.0	18139.272004034894
49.0	18029.356488822155
50.0	18135.99820443422
51.0	18205.435237718022
52.0	18291.572112367183
53.0	18275.968434259725
54.0	18462.685840857455
55.0	17975.337971671197
56.0	18009.609965313262
57.0	18077.509973215885
58.0	18173.186805243196
59.0	18370.29900257476
60.0	19210.85845416003
61.0	20637.58897258337
62.0	20981.939831180833
63.0	21037.979177855545
64.0	21170.05009686839
65.0	20815.55293863925
66.0	19678.80857876792
67.0	19471.479070204026
68.0	19787.63640910604
69.0	20311.920053259022
70.0	20113.244097981897
71.0	19415.509735321197
72.0	19044.874277989416
73.0	18227.365716574837
74.0	18401.104923454113
75.0	18593.337548089334
76.0	19694.914431948302
77.0	19503.634053022026
78.0	19054.20298882865
79.0	18114.44762027569
80.0	17786.83019897471
81.0	18659.24797323785
82.0	18503.807705413383
83.0	18455.65096259037
84.0	17571.863761210716
85.0	17723.88154553797
86.0	17418.50029812008
87.0	16938.654898755663
88.0	16801.935977517463
89.0	16415.686698665075
90.0	16391.305271598678
91.0	15577.220785366913
92.0	17187.880042345492
93.0	18473.310879306566
94.0	16288.83555121472
95.0	14440.41449946627
96.0	7909.875792604943
97.0	5507.235406162482
98.0	3342.914521335034
99.0	1031.7046354418583
