#Transcript position	Transcript coverage profile
0.0	7127.478718539639
1.0	9353.175051716506
2.0	10927.765194022828
3.0	10922.656778263477
4.0	11950.951146954616
5.0	13591.001981955797
6.0	15289.135665664608
7.0	16629.101471927723
8.0	18194.955040230252
9.0	20676.398057623315
10.0	23477.072363933505
11.0	25397.551995029768
12.0	26408.632548513448
13.0	26077.17665542588
14.0	26820.854248827094
15.0	27166.494651242116
16.0	27764.22722156657
17.0	27788.599260414274
18.0	28331.42912379054
19.0	27578.96341177475
20.0	27390.836490504214
21.0	27830.567019260823
22.0	27649.937185672014
23.0	29373.86958423419
24.0	28604.637278020175
25.0	27046.847490219203
26.0	27296.194915314572
27.0	27057.181708792472
28.0	28365.88289553367
29.0	28317.34143145321
30.0	29422.04149104611
31.0	29419.460698722305
32.0	30834.076813754473
33.0	30938.36694118578
34.0	30318.342263334656
35.0	30816.182035454112
36.0	32285.071328820562
37.0	32254.676381887486
38.0	31324.12241988426
39.0	32526.59225658298
40.0	33409.77294674725
41.0	33463.49457292478
42.0	33766.333220423534
43.0	33805.84055307649
44.0	32492.9771439162
45.0	32864.01121600422
46.0	32195.797794038404
47.0	30822.092741486664
48.0	33382.21461593351
49.0	35409.98807092616
50.0	34678.35856455544
51.0	32203.558479437874
52.0	31789.12416914237
53.0	32968.533029304956
54.0	33874.3020202386
55.0	33800.18395139989
56.0	32173.73176532898
57.0	30588.219070111958
58.0	30026.05399266585
59.0	29693.429994473187
60.0	29985.339519872447
61.0	30384.526438732864
62.0	31080.49027853468
63.0	31270.783168193786
64.0	30050.12182524959
65.0	26846.43298275333
66.0	25111.862052735996
67.0	25318.57963472275
68.0	26215.663194527027
69.0	25858.813312233604
70.0	26255.53025010113
71.0	25305.08738125033
72.0	27280.892173725944
73.0	31888.722042716745
74.0	33829.29575600155
75.0	32972.960471451486
76.0	33554.052810405934
77.0	31364.39141146954
78.0	30287.130021216184
79.0	28172.948979707762
80.0	26412.049528507465
81.0	25528.771144875627
82.0	25157.735032504144
83.0	24603.34378219943
84.0	22805.25750528001
85.0	21660.666499178977
86.0	20470.807042952667
87.0	20821.995914891628
88.0	20014.05184892211
89.0	18704.34727646498
90.0	16884.21691674489
91.0	16736.797042101956
92.0	15111.893133758154
93.0	14201.52644650397
94.0	12591.064506889295
95.0	10524.039064972769
96.0	7506.738915230728
97.0	4519.670503077497
98.0	2353.057938439006
99.0	835.793726204546
